"","STATE_ABBR","EV_AVG","MOST_FREQ","EV_MOST","PROP","AVG_PROPDMG_MAX","CROP","AVG_CROPDMG_MAX","HARM","AVG_HARM_MAX"
"25","MT",19.3454545454545,"THUNDERSTORM WIND",321,"WINTER STORM",1.67,"DROUGHT",0.99,"DUST STORM",4
"26","NC",85.1290322580645,"THUNDERSTORM WIND",2404,"HURRICANE/TYPHOON",139.24,"HURRICANE/TYPHOON",36.42,"WINTER STORM",16
"27","ND",39.8196721311475,"THUNDERSTORM WIND",885,"ICE STORM",32.67,"STRONG WIND",5,"BLIZZARD",6
"28","NE",113.483870967742,"HAIL",2818,"HEAVY SNOW",19,"DROUGHT",240,"DUST STORM",10
"29","NH",13.9791666666667,"LIGHTNING",150,"ICE STORM",4.99,"NONE",0,"AVALANCHE",2
"30","NJ",27.5416666666667,"THUNDERSTORM WIND",317,"FLOOD",19.64,"DROUGHT",80,"EXCESSIVE HEAT",20
"31","NM",21.9152542372881,"FLASH FLOOD",302,"WILDFIRE",53.18,"DROUGHT",7.2,"DUST STORM",3
"32","NV",20.5,"HIGH WIND",166,"FLOOD",21.23,"FLOOD",0.19,"DUST STORM",8
"33","NY",167.068965517241,"THUNDERSTORM WIND",4939,"BLIZZARD",10.5,"DROUGHT",33.4,"HEAT",28
"34","OH",214.629032258065,"THUNDERSTORM WIND",8020,"ICE STORM",6.96,"DROUGHT",200,"ICE STORM",57
"35","OK",132.338709677419,"THUNDERSTORM WIND",4073,"ICE STORM",57.34,"DROUGHT",52.24,"HEAT",14
"36","OR",13.6923076923077,"HIGH WIND",136,"COASTAL FLOOD",18.3,"DROUGHT",22.6,"ICE STORM",9
"37","PA",117.590163934426,"THUNDERSTORM WIND",4078,"BLIZZARD",5.99,"DROUGHT",107.89,"EXCESSIVE HEAT",14
"38","RI",11.8095238095238,"THUNDERSTORM WIND",59,"FLOOD",2.65,"NONE",0,"TORNADO",4
"39","SC",72.5806451612903,"THUNDERSTORM WIND",2653,"ICE STORM",7.66,"DROUGHT",20,"DENSE FOG",7
"40","SD",36.7741935483871,"THUNDERSTORM WIND",719,"ICE STORM",3.02,"FLASH FLOOD",0.46,"ICE STORM",12
"41","TN",171.693548387097,"THUNDERSTORM WIND",6711,"FLOOD",30.99,"WINTER STORM",0.36,"TORNADO",5
"42","TX",357.161290322581,"THUNDERSTORM WIND",8564,"STORM SURGE/TIDE",562.55,"DROUGHT",54.01,"HEAT",54
"43","UT",22.4615384615385,"FLASH FLOOD",162,"BLIZZARD",40,"COLD/WIND CHILL",0.05,"BLIZZARD",53
"44","VA",149.491803278689,"THUNDERSTORM WIND",6181,"HURRICANE/TYPHOON",105.84,"DROUGHT",18.59,"EXCESSIVE HEAT",39
"45","VT",62.7368421052632,"THUNDERSTORM WIND",927,"FLOOD",3.98,"FROST/FREEZE",0.16,"NONE",0
"46","WA",25.2325581395349,"HIGH WIND",235,"DROUGHT",12,"FROST/FREEZE",29.29,"DUST STORM",6
"47","WI",95.6935483870968,"THUNDERSTORM WIND",2766,"FLASH FLOOD",1.8,"FLOOD",2.54,"HEAT",20
"48","WV",76.843137254902,"THUNDERSTORM WIND",2158,"HEAVY SNOW",2.03,"DROUGHT",4.94,"EXCESSIVE HEAT",3
"49","WY",15.1896551724138,"TORNADO",241,"HAIL",0.81,"COLD/WIND CHILL",0.08,"WINTER STORM",6
